Date,Price,Open,High,Low,Vol.,Change %
24-Dec-20,98.61,91.35,99.54,87.66,270.47K,0.0795
25-Dec-20,103.17,98.57,105.18,95.92,366.60K,0.0463
26-Dec-20,107.91,103.18,112.6,102.18,430.60K,0.0459
27-Dec-20,107.39,107.94,113.23,101.43,553.54K,-0.0048
28-Dec-20,107.17,107.41,111.09,104.38,484.36K,-0.0020
29-Dec-20,103.91,107.16,108.75,99.31,407.05K,-0.0304
30-Dec-20,101.76,103.91,105.55,99.02,295.46K,-0.0207
31-Dec-20,99.47,101.79,102.33,96.96,192.60K,-0.0225
1-Jan-21,88.19,99.47,102.73,86.35,668.80K,-0.1134
2-Jan-21,86.92,88.13,93.75,84.89,696.64K,-0.0144
3-Jan-21,89.46,86.95,92,85.27,521.28K,0.0292
4-Jan-21,88.93,89.58,96.88,85.2,632.48K,-0.0059
5-Jan-21,89.16,88.93,90.11,85.77,341.21K,0.0026
6-Jan-21,94.29,89.14,94.74,88.05,549.24K,0.0576
7-Jan-21,98.9,94.29,108.1,93.11,537.76K,0.0489
8-Jan-21,96.25,98.99,100.84,92.21,314.15K,-0.0268
9-Jan-21,109.93,96.29,111.19,94.2,365.98K,0.1421
10-Jan-21,147.03,109.93,158.05,109.93,2.84M,0.3375
11-Jan-21,125.37,146.93,147.81,106.42,2.05M,-0.1473
12-Jan-21,128.53,125.18,135.38,116.47,1.09M,0.0252
13-Jan-21,133.09,128.55,137.42,120.22,648.02K,0.0355
14-Jan-21,132.95,133.04,137.72,129.19,431.10K,-0.0011
15-Jan-21,124.5,132.95,136.51,117.27,408.06K,-0.0636
16-Jan-21,125,124.45,132.26,121.45,328.56K,0.0040
17-Jan-21,124.27,125,126.96,120.23,254.41K,-0.0058
18-Jan-21,129.3,124.27,132.21,121.15,306.16K,0.0405
19-Jan-21,124.59,129.3,134.31,124.09,357.78K,-0.0364
20-Jan-21,121.16,124.59,127.05,112.18,621.32K,-0.0275
21-Jan-21,99.88,121.17,121.89,99.77,755.38K,-0.1756
22-Jan-21,104.78,99.86,108.2,94.21,811.27K,0.0491
23-Jan-21,105.29,104.78,109.82,102.32,356.34K,0.0049
24-Jan-21,106.13,105.27,110.79,103.72,327.21K,0.0080
25-Jan-21,104.96,106.13,113.03,104.94,367.81K,-0.0110
26-Jan-21,104.93,104.96,106.22,101.12,157.06K,-0.0003
27-Jan-21,96.64,104.9,104.93,94.33,185.66K,-0.0790
28-Jan-21,102.79,96.53,105.52,94.81,196.57K,0.0636
29-Jan-21,104.55,102.79,110.16,101.12,450.67K,0.0172
30-Jan-21,105.16,104.55,106.12,100.58,223.30K,0.0059
31-Jan-21,102.48,105.17,106.22,100.22,201.44K,-0.0255
1-Feb-21,103.61,102.46,105.64,100.19,289.78K,0.0110
2-Feb-21,109.83,103.54,110.82,103.32,305.74K,0.0601
3-Feb-21,116.78,109.84,118.44,109.84,469.20K,0.0632
4-Feb-21,111.04,116.79,118.48,110.57,309.27K,-0.0491
5-Feb-21,120.37,111.04,122.35,110.49,442.40K,0.0840
6-Feb-21,118.97,120.35,122.89,115.63,384.02K,-0.0116
7-Feb-21,118.33,118.94,121.86,112.42,339.68K,-0.0053
8-Feb-21,126.29,118.33,126.49,114.82,357.24K,0.0672
9-Feb-21,137.44,126.21,137.89,124.22,467.07K,0.0883
